RecordID,fProfit
646,56365.5160313524
647,79569.8153596043
648,61386.3497733874
649,52214.9258282887
650,61489.2053497887
651,57717.2243512163
652,67925.2473820687
653,66679.6442075755
654,70367.0491226072
655,68994.4803895891
656,57210.0027322345
657,72104.0106009174
658,63985.5602786445
659,56008.2888323255
660,59039.4512333425
661,60004.3023303871
662,49289.1817713517
663,65770.7663000629
664,57725.4837032273
665,58453.6532894121
666,64107.595799015
667,65450.9389431067
668,54730.5312101717
669,63518.9131982868
670,66355.2607488393
671,62445.5950396831
672,71267.3720476061
673,65490.573364351
674,81996.5998088332
675,50382.3906035301
676,49063.6226510259
677,53960.2359552215
678,67578.363070395
679,56806.89824137
680,55262.6163114749
681,51020.6761671666
682,67625.0778150729
683,70372.1055103979
684,60612.8983377087
685,52390.8507227362
686,51877.6317684201
687,110541.087323307
688,72089.2883776371
689,57336.5917356894
690,67131.0196846287
691,59037.0093649296
692,64492.4855945939
693,69912.0390671078
694,63087.8938794385
695,81437.140855132
696,67938.8776157331
697,59006.7663766778
698,56559.0234833146
699,69541.469208145
700,65189.6018176693
701,56892.4875309817
702,64014.2498585733
703,76585.3164404211
704,56443.5505997568
705,56246.3917468478
706,53941.9527926099
707,60598.3992705155
708,69418.3253924214
709,50063.4942202371
710,53161.3512638177
711,51333.1032153253
712,63674.3694563552
713,65028.5436207656
714,56632.7000007164
715,56029.7567045715
716,128492.832817457
717,54917.9628835004
718,55327.3949254684
719,55846.8387159543
720,62082.280419597
721,50091.5659336757
722,63492.4035154753
723,58301.7200099013
724,75097.2209586061
725,57996.4335511386
726,69500.4273657855
727,51974.6452564981
728,54025.1918024071
729,73546.1580192545
730,53689.8393790943
731,81155.595190254
732,69439.3299169211
733,68912.9176799043
734,81509.9430998837
735,51775.3544195916
736,57619.4638355374
737,59121.5996001368
738,56714.8857800535
739,48696.3828064023
740,55042.6914394621
741,56079.7376676345
742,51560.1401235426
743,123542.394937765
744,77078.3567478906
745,61541.7218389951
746,50080.7196383412
747,50878.5742617121
748,64113.0371852489
749,55710.9316284629
750,51572.625388726
751,67920.6766924474
752,59630.8495442347
753,58515.4224411858
754,66099.9830164265
755,72501.8195867592
756,121690.60659636
757,56091.8992981852
758,62723.5385128378
759,90506.0714477446
760,55488.7249812942
761,58625.5033428287
762,102168.629579313
763,53382.4426813729
764,54270.0754049981
765,68491.9094033764
766,62338.3929787733
767,58062.5352979695
768,61028.1169354817
769,80631.1563977474
770,56177.0932840413
771,58374.0147214364
772,56966.019749872
773,157163.527762415
774,57809.0303665101
775,71073.3848906052
776,64706.3505798091
777,57094.9757088464
778,55703.6415598835
779,67297.4688437473
780,61569.927929776
781,48115.7997036827
782,56008.2825510171
